host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathroom_share_or_not,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,bathrooms,Price,Pool,BabyBath,BabyMonitor,LakeAccess,BeachFront,Piano
1,1,0,3,40.75038,-73.90334,2,1,1,1.0,0.0,14,365,27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.21,1,4,0,0,0,0,0,0
1,1,1,2,40.74138,-74.00197,2,3,0,1.0,1.0,4,30,184,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.59,2,5,0,0,0,0,0,0
0,1,1,1,40.71154,-73.96112,2,4,1,2.0,2.0,3,90,63,89.0,9.0,9.0,10.0,10.0,9.0,9.0,1,0.5,1,5,0,0,0,0,0,0
1,1,1,2,40.82915,-73.95136,0,3,0,2.0,2.0,31,365,58,94.0,10.0,10.0,9.0,10.0,9.0,9.0,0,0.47,1,5,0,0,0,0,0,0
0,1,1,1,40.71833,-73.95748,0,2,0,1.0,1.0,3,90,61,90.0,9.0,7.0,9.0,9.0,10.0,9.0,0,0.47,1,5,0,0,0,0,0,0
0,1,1,2,40.72912,-73.98057,2,2,0,1.0,1.0,1,730,2,60.0,10.0,6.0,6.0,7.0,10.0,7.0,0,0.04,1,4,0,0,0,0,0,0
0,1,1,1,40.71156,-73.96218,2,2,1,1.0,1.0,3,200,193,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1.51,1,4,0,0,0,0,0,0
1,1,0,1,40.67832,-73.97243,2,2,1,1.0,1.0,1,730,43,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.51,2,4,0,0,0,0,0,0
0,1,1,2,40.79764,-73.96177,0,2,0,1.0,0.0,30,365,82,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0.64,1,5,0,0,0,0,0,0
0,1,1,2,40.82803,-73.94731,2,1,1,1.0,0.0,1,60,3,100.0,10.0,10.0,10.0,9.0,10.0,9.0,0,0.13,1,5,0,0,0,0,0,0
